Sample,Experiment,Dataset,R-Squared,M0,T2_star,offset,M0_error,T2_star_error,offset_error,T2,T2_error,T1,alpha,T1_error,alpha_error
,t2_star,T2* Analysis (old_a3_80),0.9334040842277739,147.36645967190512,0.0011935954650036285,8.83565027044409,0.8951948945399354,7.826116602208477e-06,0.07098738076546868,,,,,,
,t2_star,T2* Analysis (a3_80),0.8999751872402831,139.9622630068768,0.0013571757208877507,5.059484215402328,1.0479030179094888,1.0940236674276376e-05,0.039941696646657705,,,,,,
,t2_star,T2* Analysis (T2~),0.9335883284567694,143.36579838708974,0.0012027336500708935,8.864468812539135,0.8331910209591755,7.617614109446223e-06,0.06570541801421811,,,,,,
,t2_combined,Spin Echo (Echo Train),0.9917006054607871,79.15604764510924,,7.006652110398752,1.680154186456506,,0.4917927548318197,0.015189616331349737,0.000637922283960847,,,,
,t2,T2 Analysis,0.9958772879965669,91.12777479478454,,-28.439581284646902,16.431383021056547,,17.53614357909296,0.12174075853553684,0.03461352229743892,,,,
,t1,T1 Analysis,0.9403618802083415,5.04125924389933,,,0.35533958886876404,,,,,0.01611725954805867,-0.7834714429044759,0.0031785531169767393,0.1096831659834843
Water,t2,T2 Analysis,0.0,1.0,,0.6321205588285577,inf,,inf,1.0,inf,,,,
Water,t1,T1 Analysis,0.0,18.760469436645547,,,inf,,,,,0.000152928516037752,0.02139353143412666,inf,inf
Water,t2_combined,Spin Echo (Echo Train),0.998483690341402,209.3883296948317,,-33.59541279539749,1.8507230695291121,,3.401193664267018,2.7665216623885414,0.10326026889259854,,,,
Water,t2_star,T2* Analysis,0.9985364130366842,169.63887335039527,0.0024302035322636196,0.8505494278542498,0.13245336617981787,2.2307349624838575e-06,0.0111878742874014,,,,,,
